WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
A2AP5L;IE00BDGN9Z19;XMVE.DE;ETF;C.FD.S.-DB-X-TR.MSCI.;Xtrackers (IE) Plc - Xtrackers MSCI EMU Minimum Volatility UCITS ETF 1D
A1W8SB;IE00BGHQ0G80;XMAW.DE;ETF;CONCEPT-DB XT.MSCI.;Xtrackers (IE) Plc - Xtrackers MSCI AC World UCITS ETF 1C
DBX0M2;LU0779800910;XCHA.DE;ETF;DB CSI300 INDEX.;Xtrackers CSI300 Swap UCITS ETF 1C
A1E0HR;DE000A1E0HR8;XAD5.DE;ETF;DB ETC GOLD EUR 60.;Xtrackers Physical Gold ETC (EUR)
DBX0AE;LU0290356954;DBXQ.DE;ETF;DB IBOXX.;Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C
DBX1EM;LU0292107645;DBX1.DE;ETF;DB MSCI EM.MAR.;Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C
DBX0KT;LU0659580079;XMK9.DE;ETF;DB MSCI JAP.TRN IN.;Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged
DBX0KK;LU0659579147;XBAK.DE;ETF;DB MSCI PAKIST.I.T.IN.;Xtrackers MSCI Pakistan Swap UCITS ETF 1C
DBX0H9;LU0592215403;XPQP.DE;ETF;DB MSCI PHIL.I.M.T.IDX;Xtrackers MSCI Philippines UCITS ETF 1C
DBX0KG;LU0659578842;XBAS.DE;ETF;DB MSCI SING.I.TRN IN.;Xtrackers MSCI Singapore UCITS ETF 1C
DBX0NJ;LU0839027447;XDJP.DE;ETF;DB NIKKEI 225 UCITS;Xtrackers Nikkei 225 UCITS ETF 1D
DBX0NK;LU0875160326;RQFI.DE;ETF;DB X CSI300 HARVEST;Xtrackers Harvest CSI300 UCITS ETF 1D
DBX0BT;LU0397221945;DBX0.DE;ETF;DB X TR INDEX;Xtrackers Portfolio UCITS ETF 1C
DBX1A2;LU0328474803;DX2S.DE;ETF;DB X TRACKER ASX 200;"Xtrackers S&amp;P ASX 200 UCITS ETF 1D"
