WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
111111;2222222222;ISCV;ETF;iShares Morningstar Small-Cap V;iShares Morningstar Small-Cap V 
111111;2222222222;ILCB;ETF;iShares Morningstar Large-Cap E;iShares Morningstar Large-Cap E 
111111;2222222222;IMCB;ETF;iShares Morningstar Mid-Cap ETF;iShares Morningstar Mid-Cap ETF 
111111;2222222222;GOAT;ETF;VanEck Vectors Morningstar Glob;VanEck Vectors Morningstar Glob 
111111;2222222222;ILCV;ETF;iShares Morningstar Large-Cap;iShares Morningstar Large-Cap 
111111;2222222222;MOTI;ETF;VanEck Vectors Morningstar Inte;VanEck Vectors Morningstar Inte 
111111;2222222222;IMCV;ETF;iShares Morningstar Mid-Cap Val;iShares Morningstar Mid-Cap Val 
111111;2222222222;ISCB;ETF;iShares Morningstar Small-Cap E;iShares Morningstar Small-Cap E 
111111;2222222222;DURA;ETF;VanEck Vectors Morningstar Dura;VanEck Vectors Morningstar Dura 
111111;2222222222;ALTS;ETF;ProShares Morningstar Alternati;ProShares Morningstar Alternati 
111111;2222222222;TLTE;ETF;FlexShares Morningstar Emerging;FlexShares Morningstar Emerging 
111111;2222222222;QXM.TO;ETF;CI MORNINGSTAR NB QUEBEC ETF;CI MORNINGSTAR NB QUEBEC ETF 
111111;2222222222;XXM.TO;ETF;CI MORNINGSTAR US VALUE INDEX E;CI MORNINGSTAR US VALUE INDEX E 
111111;2222222222;TLTD;ETF;FlexShares Morningstar Develope;FlexShares Morningstar Develope 
111111;2222222222;FXM.TO;ETF;CI MORNINGSTAR CDA VALUE IDX ET;CI MORNINGSTAR CDA VALUE IDX ET 
111111;2222222222;WXM.TO;ETF;CI MORNINGSTAR CDA MOMENTUM IDX;CI MORNINGSTAR CDA MOMENTUM IDX 
111111;2222222222;ZXM.TO;ETF;CI MORNINGSTAR INTL MOMENTUM ID;CI MORNINGSTAR INTL MOMENTUM ID 
111111;2222222222;ZXM-B.TO;ETF;CI MORNINGSTAR INTL MOMENTUM UN;CI MORNINGSTAR INTL MOMENTUM UN 
111111;2222222222;TMEC.TO;ETF;TD MORNINGSTAR ESG CDA EQTY IDX;TD MORNINGSTAR ESG CDA EQTY IDX 
111111;2222222222;HHF.TO;ETF;HORIZONS MORNINGSTAR HDG FD IDX;HORIZONS MORNINGSTAR HDG FD IDX 
111111;2222222222;342140.KS;ETF;KINDEX Morningstar SG REITs Ble;KINDEX Morningstar SG REITs Ble 
111111;2222222222;TMEU.TO;ETF;TD MORNINGSTAR ESG US EQUITY IN;TD MORNINGSTAR ESG US EQUITY IN 
111111;2222222222;YXM.TO;ETF;CI MORNINGSTAR US MOMENTUM INDE;CI MORNINGSTAR US MOMENTUM INDE 
111111;2222222222;TMEI.TO;ETF;TD MORNINGSTAR ESG INTL EQTY ID;TD MORNINGSTAR ESG INTL EQTY ID 
111111;2222222222;TDIV.MI;ETF;VANECK MORNINGSTAR DM DIVIDEND;VANECK MORNINGSTAR DM DIVIDEND 
111111;2222222222;LCUS.DE;ETF;LYXOR CORE MORNINGSTAR US DR UC;LYXOR CORE MORNINGSTAR US DR UC 
111111;2222222222;GOAT.SW;ETF;VanEck Morningstar GOAT ETF;VanEck Morningstar GOAT ETF 
111111;2222222222;YXM-B.TO;ETF;CI MORNINGSTAR US MOMENTUM UNHD;CI MORNINGSTAR US MOMENTUM UNHD 
111111;2222222222;VXM.TO;ETF;CI MORNINGSTAR INTL VALUE IDX E;CI MORNINGSTAR INTL VALUE IDX E 
111111;2222222222;SPY;ETF;Spyder SP500 ETF;Spyder SP500 ETF 
111111;2222222222;IWM;ETF;iShares Russell 2000 ETF;iShares Russell 2000 ETF 
111111;2222222222;RYLD;ETF;Global X Russell 2000 Covered C;Global X Russell 2000 Covered C 
111111;2222222222;IWN;ETF;iShares Russell 2000 Value ETF;iShares Russell 2000 Value ETF 
111111;2222222222;URTY;ETF;ProShares UltraPro Russell2000;ProShares UltraPro Russell2000 
111111;2222222222;VTWO;ETF;Vanguard Russell 2000 ETF;Vanguard Russell 2000 ETF 
111111;2222222222;IWD;ETF;iShares Russell 1000 Value ETF;iShares Russell 1000 Value ETF 
111111;2222222222;VONG;ETF;Vanguard Russell 1000 Growth ET;Vanguard Russell 1000 Growth ET 
111111;2222222222;RSX;ETF;VanEck Vectors Russia ETF;VanEck Vectors Russia ETF 
111111;2222222222;VTWV;ETF;Vanguard Russell 2000 Value ETF;Vanguard Russell 2000 Value ETF 
111111;2222222222;VONV;ETF;Vanguard Russell 1000 Value ETF;Vanguard Russell 1000 Value ETF 
111111;2222222222;UWM;ETF;ProShares Ultra Russell2000;ProShares Ultra Russell2000 
111111;2222222222;IWP;ETF;iShares Russell Midcap Growth E;iShares Russell Midcap Growth E 
111111;2222222222;TWM;ETF;ProShares UltraShort Russell200;ProShares UltraShort Russell200 
111111;2222222222;RWM;ETF;ProShares Short Russell2000;ProShares Short Russell2000 
111111;2222222222;IWV;ETF;iShares Russell 3000 ETF;iShares Russell 3000 ETF 
111111;2222222222;IWB;ETF;iShares Russell 1000 ETF;iShares Russell 1000 ETF 
111111;2222222222;RUSL;ETF;Direxion Daily Russia Bull 2X S;Direxion Daily Russia Bull 2X S 
111111;2222222222;ERUS;ETF;iShares MSCI iShares MSCI Russi;iShares MSCI iShares MSCI Russi 
111111;2222222222;IWR;ETF;iShares Russell Mid-Cap ETF;iShares Russell Mid-Cap ETF 
111111;2222222222;IWY;ETF;iShares Russell Top 200 Growth;iShares Russell Top 200 Growth 
111111;2222222222;PY;ETF;SPDR S&P 500;SPDR S&P 500 
111111;2222222222;QQQ;ETF;Invesco QQQ Trust, Series 1;Invesco QQQ Trust, Series 1 
111111;2222222222;SOXL;ETF;Direxion Daily Semiconductor Bu;Direxion Daily Semiconductor Bu 
111111;2222222222;UVXY;ETF;ProShares Trust Ultra VIX Short;ProShares Trust Ultra VIX Short 
