;ticker;name;industry;sector
13;EDEN;iShares MSCI Denmark ETF;ETF;sector
15;EFNL;iShares MSCI Finland ETF;ETF;sector
14;EIRL;iShares MSCI Ireland ETF;ETF;sector
1;ENOR;iShares MSCI Norway ETF;ETF;sector
6;EPOL;iShares MSCI Poland ETF;ETF;sector
2;EWD;iShares MSCI Sweden ETF;ETF;sector
3;EWG;iShares MSCI Germany ETF;ETF;sector
0;EWI;iShares, Inc. - iShares MSCI Italy ETF;ETF;sector
16;EWK;iShares MSCI Belgium ETF;ETF;sector
10;EWL;iShares MSCI Switzerland ETF;ETF;sector
7;EWN;iShares MSCI Netherlands ETF;ETF;sector
5;EWO;iShares MSCI Austria ETF;ETF;sector
9;EWP;iShares MSCI Spain ETF;ETF;sector
299;AMES.DE;Amundi ETF MSCI Spain UCITS ETF;ETF;sector
8;EWQ;iShares MSCI France ETF;ETF;sector
4;EWU;iShares MSCI United Kingdom ETF;ETF;sector
11;GREK;Global X MSCI Greece ETF;ETF;sector
12;PGAL;Global X MSCI Portugal ETF;ETF;sector
392;C060.DE;Lyxor STOXX Europe 600 UCITS ETF;ETF;sector
81;DBXA.DE;Xtrackers - MSCI Europe UCITS ETF;ETF;sector
