##### enthaelt styles und styles_broad, geordnet nach USA , World und EURopa
#######################################


;TICKER;TRUENAMES;industry;sector
##################  USA

821;WTDM.DE;WisdomTree US Quality Dividend Growth UCITS ETF - USD Acc;ETF;sector
15;IJH;iShares Core S&P Mid-Cap ETF;ETF;sector
12;IJJ;iShares S&P Mid-Cap 400 Value ETF;ETF;sector
18;IJK;iShares S&P Mid-Cap 400 Growth ETF;ETF;sector
0;IJR;iShares Core S&P Small-Cap ETF;ETF;sector
16;IVE;iShares S&P 500 Value ETF;ETF;sector
19;IVW;iShares S&P 500 Growth ETF;ETF;sector
1;IWD;iShares Russell 1000 Value ETF;ETF;sector
5;IWF;iShares Russell 1000 Growth ETF;ETF;sector
14;IWM;iShares Russell 2000 ETF;ETF;sector
13;IWN;iShares Russell 2000 Value ETF;ETF;sector
17;IWO;iShares Russell 2000 Growth ETF;ETF;sector
3;MTUM;iShares MSCI USA Momentum Factor ETF;ETF;sector
25;IS31.DE;"iShares Edge S&amp;P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc)";ETF;sector
7;PKW;Invesco BuyBack Achievers ETF;ETF;sector
11;PSP;Invesco Global Listed Private Equity ETF;ETF;sector
30;IUQD.L;iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF;ETF;sector
8;QUAL;iShares MSCI USA Quality Factor ETF;ETF;sector
2;USMV;iShares MSCI USA Min Vol Factor ETF;ETF;sector
4;VYM;Vanguard High Dividend Yield Index Fund ETF Shares;ETF;sector
9;IBCK.DE;"iShares Edge S&amp;P 500 Minimum Volatility UCITS ETF USD (Acc)";ETF;sector
33;IUMD.L;iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Dist);ETF;sector
6;CSD;Invesco S&P Spin-Off ETF;ETF;sector
20;IBCY.DE;iShares Edge MSCI USA Multifactor UCITS ETF USD (Acc);ETF;sector
32;IUVD.L;iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist);ETF;sector
