Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;FME;FRESEN.MED.CARE KGAA O.N.;DE0005785802;FME.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;67,7;65,45;34.790.000;292.876.570;0,6777;1,01481;14.127,74;0,83%;0,44192;118,154773;0,186353;1;-0,56%;0,09%;-10,31%;1,27%;13,79%;24,31%;0,0337;-0,411;0,0247;n/a;0,0177;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;FRE;FRESENIUS SE+CO.KGAA O.N.;DE0005785604;FRE.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;43,82;225,74;400.000;557.540.909;0,7376;1,014187;18.849,77;1,11%;0,915065;244,658383;0,385873;1;-0,97%;-2,24%;-0,43%;18,05%;13,26%;25,52%;-0,5578;-0,0074;0,2708;n/a;0,2016;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;FPE3;FUCHS PETROL.SE VZO O.N.;DE0005790430;FPE3.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;40,76;66,47;280.000;69.500.000;1;1,017106;2.946,31;0,17%;0,155091;41,466314;0,0654;2;-0,34%;-0,97%;12,01%;-10,18%;17,00%;22,08%;-0,183;0,5505;1,1041;n/a;0,6411;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;FPE;FUCHS PETROLUB SE O.N.;DE0005790406;FPE.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;32,65;76,69;520.000;69.500.000;0,4547;1,020988;1.084,10;0,06%;0,070789;18,926696;0,029851;2;-0,61%;-4,25%;8,00%;-11,26%;17,77%;22,42%;-0,7974;0,3648;0,7624;n/a;0,4235;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;EWG;ISH CORE DAX;DE000BAY0017;EWG.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;50,68;134,88;62.426.957;982.424.082;1;1,027884;53.267,90;3,12%;2,21554;592,36245;0,934268;1;-1,46%;-3,76%;-21,53%;9,27%;15,04%;32,58%;-0,8316;-0,6484;0,8725;n/a;0,5725;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;Jun 03;JUNGHEINRICH AG O.N.VZO;DE0006219934;JUN3.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;42,76;173,84;1.200.000;48.000.000;1;1,007843;2.081,16;0,12%;0,106138;28,377788;0,044757;2;-0,79%;-3,17%;108,85%;18,08%;22,86%;40,00%;-0,4602;2,706;1,0128;n/a;0,4373;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;1U1;1+1 AG  INH O.N.;DE0005545503;1U1.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;25,08;221,39;1.800.000;176.764.649;0,2462;1,001412;1.125,26;0,07%;0,095616;25,564698;0,04032;2;-3,02%;-5,93%;4,66%;22,94%;14,30%;43,03%;-1,3857;0,113;0,6861;n/a;0,4736;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TGT;11 88 0 SOLUTIONS AG;DE0005118806;TGT.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;1,53;47;12.730.000;24.915.200;0,277;1;10,63;0,00%;0,015142;4,048448;0,006385;5;-1,29%;-4,97%;10,92%;-1,92%;16,66%;32,65%;-0,9953;0,3391;-0,1683;n/a;-0,0997;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;2INV;2INVEST AG  NA O.N.;DE000A3H3L44;2INV.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;12,56;65;17.647.875;5.748.154;0,4785;1;34,22;0,00%;0,006035;1,613447;0,002545;5;0,80%;-0,63%;-23,30%;-13,18%;14,95%;28,31%;-0,1317;-0,808;-0,3996;n/a;-0,2639;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;UUU;3U HOLDING AG;DE0005167902;UUU.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;3,31;30,5;9.120.000;35.314.016;0,7451;1,015244;90,83;0,01%;0,05861;15,670271;0,024715;4;-1,19%;-3,50%;107,44%;50,02%;21,23%;34,44%;-0,5476;3,1022;0,4622;n/a;0,2148;n/a
