WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
Italy;Italy;JJM;ETF;Italy;Industr Metals
Norway;Norway;JJS;ETF;Norway;SOFTS
Sweden;Sweden;LD;ETF;Sweden;Led
Germany;Germany;JJN;ETF;Germany;Nickel
United Kingdom;United Kingdom;JJT;ETF;United Kingdom;Tin
Austria;Austria;JJU ;ETF;Austria;Aluminium
Poland;Poland;JJC;ETF;Poland;Copper
Netherlands;Netherlands;LD;ETF;Netherlands;Lead
France;France;PGM;ETF;France;Platin
Spain;Spain;DBB;ETF;Spain;Invesco Basemetals
Switzerland;Switzerland;JJA;ETF;Switzerland;Aggriculture
Greece;Greece;JJP;ETF;Greece;Precious Metals
Portugal;Portugal;JJE;ETF;Portugal;Energy
Portugal;Portugal;JJG;ETF;Portugal;Grain
Portugal;Portugal;SLV;ETF;Portugal;SILVER
Portugal;Portugal;GLD;ETF;Portugal;Gold
Portugal;Portugal;KRBN;ETF;Portugal;Carbon
ETF;Portugal;USO;ETF;Portugal;Oil
ETF;Portugal;UNG;ETF;Portugal;Gas
ETF;Portugal;USLM;ETF;Portugal;Lime and Minerals
