A;TICKER;NAME;TRUENAMES
SYM;MMM;SMART;AMEX
SYM;ABT;SMART;AMEX
SYM;ABBV;SMART;AMEX
SYM;ABMD;SMART;AMEX
SYM;ACN;SMART;AMEX
SYM;ATVI;SMART;AMEX
SYM;ADBE;SMART;AMEX
SYM;AMD;SMART;AMEX
SYM;AAP;SMART;AMEX
SYM;AES;SMART;AMEX
SYM;AFL;SMART;AMEX
SYM;A;SMART;AMEX
SYM;APD;SMART;AMEX
SYM;AKAM;SMART;AMEX
SYM;ALK;SMART;AMEX
SYM;ALB;SMART;AMEX
SYM;ARE;SMART;AMEX
SYM;ALXN;SMART;AMEX
SYM;ALGN;SMART;AMEX
SYM;ALLE;SMART;AMEX
SYM;AGN;SMART;AMEX
SYM;ADS;SMART;AMEX
SYM;LNT;SMART;AMEX
SYM;ALL;SMART;AMEX
SYM;GOOGL;SMART;AMEX
SYM;GOOG;SMART;AMEX
SYM;MO;SMART;AMEX
SYM;AMZN;SMART;AMEX
SYM;AMCR;SMART;AMEX
SYM;AEE;SMART;AMEX
SYM;AAL;SMART;AMEX
SYM;AEP;SMART;AMEX
SYM;AXP;SMART;AMEX
SYM;AIG;SMART;AMEX
SYM;AMT;SMART;AMEX
SYM;AWK;SMART;AMEX
SYM;AMP;SMART;AMEX
SYM;ABC;SMART;AMEX
SYM;AME;SMART;AMEX
SYM;AMGN;SMART;AMEX
SYM;APH;SMART;AMEX
SYM;ADI;SMART;AMEX
SYM;ANSS;SMART;AMEX
SYM;ANTM;SMART;AMEX
SYM;AON;SMART;AMEX
SYM;AOS;SMART;AMEX
SYM;APA;SMART;AMEX
SYM;AIV;SMART;AMEX
SYM;AAPL;SMART;AMEX
SYM;AMAT;SMART;AMEX
SYM;APTV;SMART;AMEX
SYM;ADM;SMART;AMEX
SYM;ANET;SMART;AMEX
SYM;AJG;SMART;AMEX
SYM;AIZ;SMART;AMEX
SYM;T;SMART;AMEX
SYM;ATO;SMART;AMEX
SYM;ADSK;SMART;AMEX
SYM;ADP;SMART;AMEX
SYM;AZO;SMART;AMEX
SYM;AVB;SMART;AMEX
SYM;AVY;SMART;AMEX
SYM;BKR;SMART;AMEX
SYM;BLL;SMART;AMEX
SYM;BAC;SMART;AMEX
SYM;BK;SMART;AMEX
SYM;BAX;SMART;AMEX
SYM;BDX;SMART;AMEX
SYM;BRK B;SMART;AMEX
SYM;BBY;SMART;AMEX
SYM;BIIB;SMART;AMEX
SYM;BLK;SMART;AMEX
SYM;BA;SMART;AMEX
SYM;BKNG;SMART;AMEX
SYM;BWA;SMART;AMEX
SYM;BXP;SMART;AMEX
SYM;BSX;SMART;AMEX
SYM;BMY;SMART;AMEX
SYM;AVGO;SMART;AMEX
SYM;BR;SMART;AMEX
SYM;BF B;SMART;AMEX
SYM;CHRW;SMART;AMEX
SYM;COG;SMART;AMEX
SYM;CDNS;SMART;AMEX
SYM;CPB;SMART;AMEX
SYM;COF;SMART;AMEX
SYM;CPRI;SMART;AMEX
SYM;CAH;SMART;AMEX
SYM;KMX;SMART;AMEX
SYM;CCL;SMART;AMEX
SYM;CARR;SMART;AMEX
SYM;CAT;SMART;AMEX
SYM;CBOE;SMART;AMEX
SYM;CBRE;SMART;AMEX
SYM;CDW;SMART;AMEX
SYM;CE;SMART;AMEX
SYM;CNC;SMART;AMEX
SYM;CNP;SMART;AMEX
SYM;CTL;SMART;AMEX
SYM;CERN;SMART;AMEX
SYM;CF;SMART;AMEX
SYM;SCHW;SMART;AMEX
SYM;CHTR;SMART;AMEX
SYM;CVX;SMART;AMEX
SYM;CMG;SMART;AMEX
