WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
Italy;Italy;EWI;ETF;Italy;Italy
Norway;Norway;ENOR;ETF;Norway;Norway
Sweden;Sweden;EWD;ETF;Sweden;Sweden
Germany;Germany;EWG;ETF;Germany;Germany
United Kingdom;United Kingdom;EWU;ETF;United Kingdom;United Kingdom
Austria;Austria;EWO;ETF;Austria;Austria
Poland;Poland;EPOL;ETF;Poland;Poland
Netherlands;Netherlands;EWN;ETF;Netherlands;Netherlands
France;France;EWQ;ETF;France;France
Spain;Spain;EWP;ETF;Spain;Spain
Switzerland;Switzerland;EWL;ETF;Switzerland;Switzerland
Greece;Greece;GREK;ETF;Greece;Greece
Portugal;Portugal;PGAL;ETF;Portugal;Portugal
Denmark;Denmark;EDEN;ETF;Denmark;Denmark
Ireland;Ireland;EIRL;ETF;Ireland;Ireland
Finland;Finland;EFNL;ETF;Finland;Finland
Belgium;Belgium;EWK;ETF;Belgium;Belgium
